Date;  Primary Mixer water flow (t/h);  Secondary Mixer water flow (t/h);  Nivel de Silo 101 (%);  Nivel de Silo 102 (%);  Nivel de Silo 103 (%);  Nivel de Silo 104 (%);  Nivel de Silo 105 (%);  Nivel de Silo 106 (%);  Nivel de Silo 107 (%);  Nivel de Silo 108 (%);  Nivel de Silo 109 (%);  Nivel de Silo 110 (%);  Nivel de Silo 111 (%);  Nivel de Silo 112 (%);  Nivel de Silo 113 (%);  Nivel de Silo 114 (%);  Nivel de Silo 115 (%);  Nivel de Silo 116 (%);  NINE ROLLER SPEED (rpm);  BED DEPTH CONTROL SETPOINT (mm);  TEMPERATURA DO FORNO ATI351 (Deg C);  TEMPERATURA DO FORNO ATI352 (Deg C);  TEMPERATURA DO FORNO ATI353 (Deg C);  FURNACE PRESSURE (Pa); Gas flow rate  (Nm3/h); Vazão total de gás de exaustão (Nm3/min);BTP.Act.BTP (m); Temperatura mínima de queima avaliada pela corrente (Deg C);  MAIN DUST TEMPERATURE (Deg C); Posição calculada da queima atual (m); Speed ??of sinter strand {pt}A203SI_SM_PV ; Saída do Bloco Analise Gas O2 em UE {pt}EXS_AT071O2_RA ;  1# FAN PRESURE OF COOLER (kPa);  2# FAN PRESURE OF COOLER (kPa);  3# FAN PRESURE OF COOLER (kPa);  4# FAN PRESURE OF COOLER (kPa);  COLLER SPEED RATIO TO SINTER (%);  Corrente Peneira 310A (A);  Corrente Peneira 310B (A);  Corrente Peneira 312A (A);  Corrente Peneira 312B (A); Seleção de rota de peneiramento;PRODUCT WEIGHT S207 (t/h)
01/01/2023;4,47;0,00;88,82;0,00;86,12;54,00;66,05;42,30;53,13;7,00;0,00;45,45;46,00;53,00;31,25;80,28;81,80;37,07;5,47;600,00;1164,23;1191,41;1182,64;1,76;1034,48;11492,56;53,69;339,43;135,73;36,00;1,82;-2,00;0,00;2,08;2,11;0,57;0,43;;;;;;231,63
01/01/2023;4,48;0,00;83,03;0,00;78,85;54,00;66,93;39,98;51,43;6,23;0,00;41,87;46,00;53,00;32,42;78,22;94,88;36,13;5,52;600,00;1158,43;1199,41;1192,23;1,39;1034,48;11332,72;54,19;353,38;140,02;35,95;1,84;-2,00;0,00;2,00;2,08;0,56;0,43;;;;;;237,95
01/01/2023;4,48;0,00;77,07;0,00;77,10;54,03;82,42;37,57;49,90;6,00;0,00;38,07;46,00;51,90;32,85;75,32;95,15;35,40;5,53;600,00;1157,74;1197,44;1186,80;0,25;1034,48;11345,65;56,09;308,16;131,35;35,79;1,84;-2,00;0,00;2,04;2,08;0,55;0,43;;;;;;233,66
01/01/2023;4,48;0,00;71,20;0,00;70,93;54,10;76,37;35,23;48,37;6,00;0,00;34,35;46,00;51,00;33,00;72,85;93,33;34,78;5,46;600,00;1170,80;1194,98;1166,92;1,08;1034,48;11469,27;55,20;307,77;127,23;35,51;1,82;-2,00;0,00;2,10;2,10;0,57;0,43;;;;;;231,49
01/01/2023;4,46;0,00;65,60;0,00;64,22;54,60;70,42;33,10;46,80;5,17;0,00;30,97;46,00;51,55;33,03;70,48;91,57;33,68;5,45;600,00;1170,24;1199,25;1177,25;0,46;1034,48;11636,45;50,23;265,94;127,80;29,73;1,81;-2,00;0,00;2,08;2,13;0,58;0,43;;;;;;231,52
01/01/2023;4,44;0,00;59,47;0,00;64,07;54,85;63,87;30,85;45,35;5,00;0,00;28,88;46,00;51,38;33,78;67,75;89,95;38,40;5,50;600,00;1172,76;1190,54;1177,55;1,19;1034,48;11612,23;55,82;284,82;125,25;35,09;1,83;-2,00;0,00;2,13;2,14;0,59;0,43;;;;;;224,41
01/01/2023;4,45;0,00;52,63;0,00;75,97;54,28;63,63;28,15;43,53;5,00;0,00;31,38;46,00;49,60;33,95;65,20;88,43;50,55;5,46;600,00;1179,64;1195,33;1168,82;0,73;1034,48;11682,00;54,81;293,88;126,08;34,48;1,82;-2,00;0,00;2,09;2,12;0,57;0,43;;;;;;227,13
01/01/2023;4,45;0,00;57,77;0,00;68,77;54,05;60,23;25,95;42,07;4,33;0,00;34,32;46,00;49,00;33,92;62,60;86,67;60,10;5,43;600,00;1165,78;1184,17;1165,80;0,90;1034,48;11654,25;55,26;298,62;127,93;34,80;1,81;-2,00;0,00;2,05;2,12;0,56;0,43;;;;;;234,15
01/01/2023;4,46;0,00;56,77;0,00;61,83;54,05;54,25;25,20;40,52;4,00;0,00;35,12;46,00;49,00;33,30;60,15;84,80;58,77;5,43;600,00;1183,32;1186,63;1178,95;2,60;1034,48;11575,40;53,91;325,76;137,33;34,14;1,81;-2,00;0,00;2,02;2,11;0,55;0,43;;;;;;233,89
01/01/2023;4,44;0,00;51,17;0,00;54,80;54,07;48,38;54,60;38,97;4,00;0,00;32,97;46,00;49,00;33,83;60,23;82,88;56,25;5,40;600,00;1186,75;1192,63;1169,65;2,23;1034,48;11277,47;55,09;304,45;129,60;35,47;1,80;-2,00;0,00;2,05;2,14;0,57;0,43;;;;;;224,48
01/01/2023;4,23;0,00;81,93;0,00;49,15;54,30;41,60;55,80;37,47;3,35;0,00;29,42;46,00;49,00;34,00;66,22;80,90;53,57;5,29;600,00;1182,30;1188,67;1163,07;1,69;1034,48;11324,18;54,27;318,43;131,93;36,05;1,76;-2,00;0,00;2,04;2,14;0,57;0,43;;;;;;212,12
01/01/2023;4,24;0,00;90,48;0,00;83,00;55,13;43,57;54,02;36,03;3,00;0,00;29,88;45,83;49,00;34,00;73,03;79,88;51,23;5,36;600,00;1161,39;1194,20;1183,36;3,04;1034,48;11425,21;53,77;331,29;138,67;34,57;1,79;-2,00;0,00;2,01;2,13;0,56;0,43;;;;;;229,32
01/01/2023;4,18;0,00;84,42;0,00;83,73;56,00;81,55;52,33;34,50;3,00;0,00;29,62;45,15;49,00;34,22;79,37;80,63;49,63;5,53;600,00;1158,79;1199,73;1188,64;2,46;1034,48;11329,14;53,60;336,14;142,38;34,14;1,84;-2,00;0,00;2,01;2,12;0,55;0,43;;;;;;244,89
01/01/2023;4,23;0,00;78,37;0,00;85,10;56,75;99,90;50,03;32,80;2,48;0,00;25,95;44,38;49,00;34,87;82,37;78,80;47,25;5,54;600,00;1155,04;1194,60;1185,86;2,42;1034,48;11251,02;55,32;321,27;131,93;36,98;1,85;-2,00;0,00;2,01;2,08;0,53;0,43;;;;;;246,17
01/01/2023;4,06;0,00;82,70;0,00;100,00;57,08;99,63;47,77;31,25;2,00;0,00;23,75;43,40;49,00;34,78;84,78;77,20;53,97;5,53;600,00;1156,86;1195,41;1184,43;2,44;1034,48;11445,56;55,25;320,22;130,67;35,95;1,85;-2,00;0,00;2,06;1,30;0,52;0,43;;;;;;238,53
01/01/2023;4,11;0,00;81,95;0,00;97,38;57,82;94,63;45,25;55,37;1,83;0,00;25,62;43,78;49,00;34,58;84,27;75,50;53,70;5,53;600,00;1140,23;1199,32;1191,60;3,50;1034,48;11746,64;55,63;307,44;130,03;34,52;1,85;-2,00;0,00;2,05;1,37;0,54;0,43;;;;;;234,81
01/01/2023;4,04;0,00;76,18;0,00;89,75;57,70;88,23;42,92;78,95;1,00;0,00;29,90;44,00;49,00;34,00;81,20;73,82;51,00;5,50;600,00;1156,94;1196,78;1186,56;2,55;1034,48;11820,61;55,78;299,70;127,37;34,91;1,83;-2,00;0,00;2,08;1,63;0,55;0,43;;;;;;235,95
01/01/2023;4,05;0,00;70,42;0,00;81,98;57,35;81,73;40,50;91,98;1,00;0,00;28,13;44,32;49,00;33,97;79,07;71,83;48,20;5,60;600,00;1166,19;1198,78;1178,19;2,50;1034,48;11946,89;56,60;293,83;130,08;32,29;1,87;-2,00;0,00;2,08;1,72;0,56;0,43;;;;;;244,47
01/01/2023;4,06;0,00;86,03;0,00;80,37;57,53;75,10;38,12;90,50;0,33;0,00;25,78;45,42;49,00;33,25;76,12;72,35;45,58;5,64;600,00;1177,51;1202,08;1177,59;3,15;1034,48;12097,58;55,57;276,94;130,00;31,48;1,88;-2,00;0,00;2,09;1,77;0,57;0,43;;;;;;243,69
