Data_pilha;MHVB;FeT MHVB;CaO MHVB;SiO2 MHVB;Al2O3 MHVB;MgO MHVB;MnT MHVB;P MHVB;TiO2 MHVB;FeO MHVB;PPC MHVB;CF MHVB;8,00 MHVB;6,30 MHVB;4,75 MHVB;2,80 MHVB;2,00 MHVB;1,00 MHVB;0,500 MHVB;0,250 MHVB;0,150 MHVB;0,125 MHVB;0,106 MHVB;0,063 MHVB;0,045 MHVB;FUNDO MHVB;>2,80 MHVB;>1,00 MHVB;>0,25 MHVB;<0,125 MHVB;<0,045 MHVB;>6,3 MHVB;<0,150 MHVB;LXIN    ;MCJM;MCLGA AC;MFBU1   ;MFLGA VL;MFMTP   ;MFVL    ;MFVA    ;MCLGA VLN;MFIB;MFSMB;MFBU 2;MFLGAVLN;MFVO;MFSAFM;MFGG;MPBU;MPBU2   ;MCLGA HT;MFBE;MFPV    ;MCLGA MC VL;MFLGA HT;MCSAFM;MPSS;MFBE T2;MFVL SEMIL;MCAVG
05/01/2023;MHVB 01/23;62,7284352;0,124866106;5,69314588;1,225211034;0,127255998;0,765957455;0,045119421;0,072273335;1,296526102;2,09230612;0;4,240553537;4,681691454;5,672134929;11,18992633;6,767089139;10,42572865;7,079122771;6,131569896;6,909035379;2,97448838;3,102773977;9,582146963;9,680855283;11,56288332;25,78430625;42,97712404;56,1878167;33,92865954;11,56288332;8,922244991;36,90314792;0;0;0,144793844;0,128598164;0,150476301;0;0,037437045;0;0,088148324;0;0;0,389105575;0;0;0,028491669;0;0,032949077;0;0;0;0;0;0;0;0;0;0;0
06/01/2023;MHVB 01/23;62,7284352;0,124866106;5,69314588;1,225211034;0,127255998;0,765957455;0,045119421;0,072273335;1,296526102;2,09230612;0;4,240553537;4,681691454;5,672134929;11,18992633;6,767089139;10,42572865;7,079122771;6,131569896;6,909035379;2,97448838;3,102773977;9,582146963;9,680855283;11,56288332;25,78430625;42,97712404;56,1878167;33,92865954;11,56288332;8,922244991;36,90314792;0;0;0,144793844;0,128598164;0,150476301;0;0,037437045;0;0,088148324;0;0;0,389105575;0;0;0,028491669;0;0,032949077;0;0;0;0;0;0;0;0;0;0;0
07/01/2023;MHVB 01/23;62,7284352;0,124866106;5,69314588;1,225211034;0,127255998;0,765957455;0,045119421;0,072273335;1,296526102;2,09230612;0;4,240553537;4,681691454;5,672134929;11,18992633;6,767089139;10,42572865;7,079122771;6,131569896;6,909035379;2,97448838;3,102773977;9,582146963;9,680855283;11,56288332;25,78430625;42,97712404;56,1878167;33,92865954;11,56288332;8,922244991;36,90314792;0;0;0,144793844;0,128598164;0,150476301;0;0,037437045;0;0,088148324;0;0;0,389105575;0;0;0,028491669;0;0,032949077;0;0;0;0;0;0;0;0;0;0;0
08/01/2023;MHVB 01/23;62,7284352;0,124866106;5,69314588;1,225211034;0,127255998;0,765957455;0,045119421;0,072273335;1,296526102;2,09230612;0;4,240553537;4,681691454;5,672134929;11,18992633;6,767089139;10,42572865;7,079122771;6,131569896;6,909035379;2,97448838;3,102773977;9,582146963;9,680855283;11,56288332;25,78430625;42,97712404;56,1878167;33,92865954;11,56288332;8,922244991;36,90314792;0;0;0,144793844;0,128598164;0,150476301;0;0,037437045;0;0,088148324;0;0;0,389105575;0;0;0,028491669;0;0,032949077;0;0;0;0;0;0;0;0;0;0;0
09/01/2023;MHVB 01/23;62,7284352;0,124866106;5,69314588;1,225211034;0,127255998;0,765957455;0,045119421;0,072273335;1,296526102;2,09230612;0;4,240553537;4,681691454;5,672134929;11,18992633;6,767089139;10,42572865;7,079122771;6,131569896;6,909035379;2,97448838;3,102773977;9,582146963;9,680855283;11,56288332;25,78430625;42,97712404;56,1878167;33,92865954;11,56288332;8,922244991;36,90314792;0;0;0,144793844;0,128598164;0,150476301;0;0,037437045;0;0,088148324;0;0;0,389105575;0;0;0,028491669;0;0,032949077;0;0;0;0;0;0;0;0;0;0;0
10/01/2023;MHVB 04/23;62,78525121;0,141864259;5,747411579;1,280953602;0,170294551;0,524329487;0,050541483;0,082119867;1,385399694;2,012175989;0;5,205305425;4,415488428;5,255337426;10,53379421;6,905066094;10,93920738;10,21186684;8,98916238;6,470822175;2,46453855;2,61087384;8,189889092;5,620256504;12,18839165;25,40992549;43,25419897;62,45522819;28,60941109;12,18839165;9,620793853;31,07394964;0;0,023039392;0;0,085152016;0;0;0,021059013;0,217929501;0,039367025;0;0;0,236418608;0,123339597;0;0,10517304;0;0;0;0;0,106459742;0;0;0;0;0;0;0;0,042062066
11/01/2023;MHVB 04/23;62,78525121;0,141864259;5,747411579;1,280953602;0,170294551;0,524329487;0,050541483;0,082119867;1,385399694;2,012175989;0;5,205305425;4,415488428;5,255337426;10,53379421;6,905066094;10,93920738;10,21186684;8,98916238;6,470822175;2,46453855;2,61087384;8,189889092;5,620256504;12,18839165;25,40992549;43,25419897;62,45522819;28,60941109;12,18839165;9,620793853;31,07394964;0;0,023039392;0;0,085152016;0;0;0,021059013;0,217929501;0,039367025;0;0;0,236418608;0,123339597;0;0,10517304;0;0;0;0;0,106459742;0;0;0;0;0;0;0;0,042062066
12/01/2023;MHVB 04/23;62,78525121;0,141864259;5,747411579;1,280953602;0,170294551;0,524329487;0,050541483;0,082119867;1,385399694;2,012175989;0;5,205305425;4,415488428;5,255337426;10,53379421;6,905066094;10,93920738;10,21186684;8,98916238;6,470822175;2,46453855;2,61087384;8,189889092;5,620256504;12,18839165;25,40992549;43,25419897;62,45522819;28,60941109;12,18839165;9,620793853;31,07394964;0;0,023039392;0;0,085152016;0;0;0,021059013;0,217929501;0,039367025;0;0;0,236418608;0,123339597;0;0,10517304;0;0;0;0;0,106459742;0;0;0;0;0;0;0;0,042062066
13/01/2023;MHVB 04/23;62,78525121;0,141864259;5,747411579;1,280953602;0,170294551;0,524329487;0,050541483;0,082119867;1,385399694;2,012175989;0;5,205305425;4,415488428;5,255337426;10,53379421;6,905066094;10,93920738;10,21186684;8,98916238;6,470822175;2,46453855;2,61087384;8,189889092;5,620256504;12,18839165;25,40992549;43,25419897;62,45522819;28,60941109;12,18839165;9,620793853;31,07394964;0;0,023039392;0;0,085152016;0;0;0,021059013;0,217929501;0,039367025;0;0;0,236418608;0,123339597;0;0,10517304;0;0;0;0;0,106459742;0;0;0;0;0;0;0;0,042062066
14/01/2023;MHVB 04/23;62,78525121;0,141864259;5,747411579;1,280953602;0,170294551;0,524329487;0,050541483;0,082119867;1,385399694;2,012175989;0;5,205305425;4,415488428;5,255337426;10,53379421;6,905066094;10,93920738;10,21186684;8,98916238;6,470822175;2,46453855;2,61087384;8,189889092;5,620256504;12,18839165;25,40992549;43,25419897;62,45522819;28,60941109;12,18839165;9,620793853;31,07394964;0;0,023039392;0;0,085152016;0;0;0,021059013;0,217929501;0,039367025;0;0;0,236418608;0,123339597;0;0,10517304;0;0;0;0;0,106459742;0;0;0;0;0;0;0;0,042062066
